driver_id,driver_name,driver_phone,national_id,region_id,shift,vehicle_type,hire_date,rating_avg,on_time_rate,cancel_rate,completed_deliveries,is_active,created_at,updated_at
1,Tarek Farouk,01556324312,359436842801130,2,night,car,2022-10-29,3.899,0.854,0.02,6049,True,2022-10-29 00:00:00,2026-03-21 23:09:17.373158
2,Bassem Abdel-Rahman,01071862210,382445653135239,14,evening,bike,2019-03-22,3.569,0.861,0.038,9102,True,2019-03-22 00:00:00,2026-03-21 23:09:17.373206
3,Khaled El-Din,01155092789,333451979746901,10,evening,bike,2020-02-14,4.916,0.949,0.013,22075,True,2020-02-14 00:00:00,2026-03-21 23:09:17.373230
4,Bassem Abdallah,01540317902,223334061807881,11,evening,bike,2019-07-14,3.571,0.853,0.065,15477,True,2019-07-14 00:00:00,2026-03-21 23:09:17.373254
5,Hazem Abdel-Rahman,01236853878,345362193617429,17,evening,car,2023-11-09,4.515,0.91,0.046,8872,True,2023-11-09 00:00:00,2026-03-21 23:09:17.373274
6,Hassan El-Din,01585982862,238237358134698,12,evening,motorbike,2024-03-29,3.725,0.756,0.016,5513,True,2024-03-29 00:00:00,2026-03-21 23:09:17.373290
7,Khaled Mohamed,01296710377,243232744242109,13,morning,car,2023-08-17,3.699,0.755,0.014,5685,True,2023-08-17 00:00:00,2026-03-21 23:09:17.373306
8,Walid Saleh,01228311409,249096243498411,18,morning,motorbike,2019-06-01,4.495,0.855,0.006,24866,True,2019-06-01 00:00:00,2026-03-21 23:09:17.373323
9,Wael Mohamed,01558779318,229781943982927,8,morning,motorbike,2019-09-18,4.37,0.844,0.037,11548,True,2019-09-18 00:00:00,2026-03-21 23:09:17.373339
10,Nabil Soliman,01052065222,392239313664514,13,night,motorbike,2020-01-05,4.655,0.823,0.079,10070,True,2020-01-05 00:00:00,2026-03-21 23:09:17.373355
11,Mostafa Mansour,01225161415,369642259829314,16,night,motorbike,2025-08-11,3.883,0.767,0.017,1437,True,2025-08-11 00:00:00,2026-03-21 23:09:17.373372
12,Tarek Abdel-Rahman,abc12345,399925058574447,12,night,bike,2025-10-17,3.695,0.907,0.064,1040,True,2025-10-17 00:00:00,2026-03-21 23:09:17.373410
13,Amr Khalil,01168900892,348564656871503,3,evening,motorbike,2021-08-22,4.165,0.719,0.032,17755,True,2021-08-22 00:00:00,2026-03-21 23:09:17.373455
14,Ziad Ibrahim,01590814633,335858458740794,15,night,bike,2024-09-04,3.748,0.925,0.03,4033,True,2024-09-04 00:00:00,2026-03-21 23:09:17.373480
15,Hassan Mostafa,01552869025,328789344492893,9,morning,car,2020-06-16,4.517,0.878,0.066,17623,True,2020-06-16 00:00:00,2026-03-21 23:09:17.373514
16,Hassan Naguib,01084964625,222523724536519,15,morning,motorbike,2025-05-25,3.903,0.938,0.069,1088,True,2025-05-25 00:00:00,2026-03-21 23:09:17.373531
17,Ali Mohamed,01570895638,341589993468742,7,morning,motorbike,2025-05-12,4.88,0.74,0.061,1672,True,2025-05-12 00:00:00,2026-03-21 23:09:17.373546
18,Karim Mahmoud,01166147435,214046486012615,10,evening,car,2022-03-05,3.836,0.762,0.036,8286,True,2022-03-05 00:00:00,2026-03-21 23:09:17.373565
19,Omar El-Sayed,01538483372,369574239178689,9,morning,motorbike,2022-08-17,3.61,0.724,0.006,7058,True,2022-08-17 00:00:00,2026-03-21 23:09:17.373583
20,Adel Gaber,01262975309,388752057453412,2,night,car,2019-07-06,3.724,0.5,0.036,29662,True,2019-07-06 00:00:00,2026-03-21 23:09:17.373606
21,Khaled Tawfik,01027162621,349547349350320,12,evening,car,2021-12-02,3.957,0.81,0.068,14033,True,2021-12-02 00:00:00,2026-03-21 23:09:17.373634
22,Khaled Saleh,01184581396,336586076149821,5,morning,bike,2024-07-05,3.836,0.848,0.006,3554,True,2024-07-05 00:00:00,2026-03-21 23:09:17.373704
23,Wael Fathy,01525098270,259199381466591,3,morning,bike,2025-04-16,4.794,0.87,0.017,1463,True,2025-04-16 00:00:00,2026-03-21 23:09:17.373754
24,Wael Gaber,01165890810,213652133776023,10,night,car,2019-01-17,4.956,0.755,0.013,19743,True,2019-01-17 00:00:00,2026-03-21 23:09:17.373770
25,Khaled Ali,01289752745,255726167891485,5,morning,bike,2024-05-19,4.827,0.814,0.062,4094,True,2024-05-19 00:00:00,2026-03-21 23:09:17.373798
26,Walid Shaker,01521970652,239308222658092,6,evening,motorbike,2021-11-11,4.683,0.717,0.026,15388,True,2021-11-11 00:00:00,2026-03-21 23:09:17.373812
27,Hossam Saleh,01158190104,261714979883738,17,morning,car,2022-06-24,4.227,0.91,0.072,9895,True,2022-06-24 00:00:00,2026-03-21 23:09:17.373832
28,Nabil Saleh,01015427508,375236143462150,8,night,motorbike,2023-11-14,4.503,0.849,0.017,6359,True,2023-11-14 00:00:00,2026-03-21 23:09:17.373882
29,Ibrahim Mansour,01150320166,270196213316716,10,night,motorbike,2024-05-10,3.536,0.715,0.01,2178,True,2024-05-10 00:00:00,2026-03-21 23:09:17.373896
30,Youssef Mansour,01077571186,275144610435697,6,morning,car,2021-11-03,4.759,0.871,0.001,11529,True,2021-11-03 00:00:00,2026-03-21 23:09:17.373925
31,Ashraf Mansour,01138329117,295014506147287,9,night,car,2021-12-21,3.695,0.82,0.047,4827,True,2021-12-21 00:00:00,2026-03-21 23:09:17.373972
32,Hossam Mansour,01293013580,365592661254383,10,morning,car,2025-10-01,3.651,0.804,0.005,455,False,2025-10-01 00:00:00,2026-03-21 23:09:17.373986
33,Bassem El-Sayed,01594028236,252348747307539,15,morning,bike,2020-08-17,4.184,0.889,0.005,8576,True,2020-08-17 00:00:00,2026-03-21 23:09:17.373999
34,Hossam Fathy,01286427662,356982865960051,1,morning,bike,2025-07-25,4.414,0.946,0.06,2414,True,2025-07-25 00:00:00,2026-03-21 23:09:17.374013
35,Adel Zaki,01578901438,384350439585692,1,evening,car,2019-06-01,4.316,0.948,0.049,14866,True,2019-06-01 00:00:00,2026-03-21 23:09:17.374034
36,Youssef Fathy,01512792658,276040242641592,12,evening,car,2022-11-21,3.828,0.926,0.022,11549,True,2022-11-21 00:00:00,2026-03-21 23:09:17.374062
37,Ziad Tawfik,01565950146,376476627516738,6,night,car,2022-04-16,3.77,0.814,0.052,6056,True,2022-04-16 00:00:00,2026-03-21 23:09:17.374075
38,Hassan Shaker,01550755467,288366872790446,2,morning,motorbike,2023-08-31,4.075,0.73,0.021,6795,True,2023-08-31 00:00:00,2026-03-21 23:09:17.374087
39,Ayman Hassan,01085427873,246285972639678,11,evening,bike,2020-04-11,4.667,0.859,0.064,19489,True,2020-04-11 00:00:00,2026-03-21 23:09:17.374099
40,Bassem Soliman,01571355706,224903427681611,4,night,car,2019-07-26,3.51,0.866,0.01,23180,True,2019-07-26 00:00:00,2026-03-21 23:09:17.374111
41,Hassan Zaki,01030709222,327305014963826,7,evening,motorbike,2024-09-03,4.964,0.881,0.064,2223,True,2024-09-03 00:00:00,2026-03-21 23:09:17.374123
42,Ibrahim Soliman,01558404738,284542393710723,14,morning,bike,2023-03-06,3.722,0.81,0.036,13105,False,2023-03-06 00:00:00,2026-03-21 23:09:17.374136
43,Ayman Gaber,01079437366,257610076595822,11,evening,motorbike,2023-12-18,4.96,0.932,0.017,3606,True,2023-12-18 00:00:00,2026-03-21 23:09:17.374148
44,Hazem Ali,01563955904,311109579706988,9,night,car,2024-10-30,4.423,0.711,0.014,3290,True,2024-10-30 00:00:00,2026-03-21 23:09:17.374161
45,Adel Shaker,01536480587,315201567379266,18,evening,car,2022-11-15,4.056,0.813,0.06,12249,True,2022-11-15 00:00:00,2026-03-21 23:09:17.374173
46,Hussein Mohamed,01113143613,293389109044875,9,morning,car,2024-11-05,4.753,0.833,0.021,3141,True,2024-11-05 00:00:00,2026-03-21 23:09:17.374185
47,Ziad Farouk,01070228445,373771696802385,11,morning,motorbike,2022-12-22,4.686,0.848,0.081,10520,True,2022-12-22 00:00:00,2026-03-21 23:09:17.374197
48,Walid Shaker,01160689435,256136990639839,17,night,bike,2022-03-11,3.776,0.856,0.061,8744,True,2022-03-11 00:00:00,2026-03-21 23:09:17.374209
49,Karim Mohamed,01520478739,384065322982472,13,night,bike,2020-06-16,4.302,0.813,0.059,21869,True,2020-06-16 00:00:00,2026-03-21 23:09:17.374220
50,Sherif Tawfik,01177885433,228208332229271,17,night,motorbike,2023-09-04,3.699,0.883,0.013,7065,False,2023-09-04 00:00:00,2026-03-21 23:09:17.374232
51,Tarek Ibrahim,01215406577,262278847625879,10,evening,car,2020-03-27,3.98,0.904,0.037,17732,True,2020-03-27 00:00:00,2026-03-21 23:09:17.374244
52,,01015997180,390652962521313,10,night,motorbike,2024-06-25,4.156,0.76,0.023,4371,True,2024-06-25 00:00:00,2026-03-21 23:09:17.374256
53,Ali Ali,01153649791,297930005648454,14,evening,car,2024-01-17,3.821,0.867,0.033,6891,True,2024-01-17 00:00:00,2026-03-21 23:09:17.374270
54,Ashraf Khalil,01285302098,288720926191460,3,morning,car,2020-11-09,4.962,0.723,0.043,21310,True,2020-11-09 00:00:00,2026-03-21 23:09:17.374283
55,Nabil Fathy,01112546591,338964343572718,8,night,car,2020-05-07,4.733,0.922,0.048,9313,True,2020-05-07 00:00:00,2026-03-21 23:09:17.374295
56,Essam Hassan,01165691824,284298036448019,11,evening,motorbike,2019-04-06,3.864,0.92,0.014,9718,True,2019-04-06 00:00:00,2026-03-21 23:09:17.374307
57,Mostafa Mohamed,01092473495,313823300248937,2,evening,bike,2023-07-27,4.088,0.852,0.022,5855,True,2023-07-27 00:00:00,2026-03-21 23:09:17.374318
58,Ziad Ibrahim,01578265991,326196104163438,9,morning,bike,2025-09-11,4.015,0.838,0.045,492,True,2025-09-11 00:00:00,2026-03-21 23:09:17.374331
59,Hany El-Sayed,01184451573,289973599353710,14,evening,motorbike,2025-07-28,3.64,0.842,0.052,1177,True,2025-07-28 00:00:00,2026-03-21 23:09:17.374342
60,Hassan Mostafa,01072364542,310073733342850,2,evening,car,2025-03-23,3.937,0.93,0.022,3344,True,2025-03-23 00:00:00,2026-03-21 23:09:17.374355
61,Hussein El-Din,01050350996,239675784312601,17,evening,car,2020-10-23,4.803,0.772,0.078,19553,True,2020-10-23 00:00:00,2026-03-21 23:09:17.374368
62,Mostafa Mostafa,01212130654,295676016414622,16,morning,car,2022-10-31,4.871,0.947,0.054,9430,True,2022-10-31 00:00:00,2026-03-21 23:09:17.374379
63,Nabil Naguib,01526564560,360378254025343,13,morning,car,2019-11-14,4.721,0.729,0.062,21479,False,2019-11-14 00:00:00,2026-03-21 23:09:17.374392
64,Hussein Mansour,01235704262,296336643516336,10,night,bike,2019-03-23,3.838,0.836,0.078,22477,True,2019-03-23 00:00:00,2026-03-21 23:09:17.374403
65,Samy Tawfik,01524890990,380414138126087,16,morning,car,2021-03-14,4.349,0.745,0.049,15307,True,2021-03-14 00:00:00,2026-03-21 23:09:17.374415
66,Omar El-Din,01180206603,313254202139488,18,night,bike,2020-06-05,3.857,0.941,0.046,17378,True,2020-06-05 00:00:00,2026-03-21 23:09:17.374429
67,Hazem Hassan,01576514912,341601172014199,2,evening,motorbike,2023-07-25,4.865,0.811,0.039,5400,True,2023-07-25 00:00:00,2026-03-21 23:09:17.374442
68,Wael El-Din,01519991216,233146424337663,11,evening,bike,2021-07-13,3.589,0.979,0.053,6408,True,2021-07-13 00:00:00,2026-03-21 23:09:17.374453
69,Fadi Rizk,01155741665,256951816402861,17,morning,motorbike,2021-10-09,4.874,0.904,0.057,14631,True,2021-10-09 00:00:00,2026-03-21 23:09:17.374465
70,Essam Ibrahim,01027117564,217711364321431,10,night,bike,2019-05-17,4.465,0.98,0.004,22168,True,2019-05-17 00:00:00,2026-03-21 23:09:17.374476
71,Amr Naguib,01070855827,397147550220512,4,evening,bike,2023-08-11,4.472,0.908,0.056,3594,True,2023-08-11 00:00:00,2026-03-21 23:09:17.374488
72,Youssef Ibrahim,01186935230,281621317117206,9,evening,bike,2019-10-04,4.082,0.912,0.062,14696,True,2019-10-04 00:00:00,2026-03-21 23:09:17.374499
73,Mohamed Ali,01251766978,276078704966062,10,night,motorbike,2024-10-02,4.047,0.845,0.032,1919,True,2024-10-02 00:00:00,2026-03-21 23:09:17.374511
74,Mohamed Mostafa,01556146216,238200654380095,7,morning,car,2025-04-10,3.994,0.897,0.057,3174,True,2025-04-10 00:00:00,2026-03-21 23:09:17.374522
75,Khaled El-Din,01231780851,279793399773895,8,morning,car,2025-11-28,4.478,0.948,0.056,417,True,2025-11-28 00:00:00,2026-03-21 23:09:17.374534
76,Nabil El-Masry,01058696493,260367398153116,1,night,car,2023-06-28,3.706,0.794,0.018,5111,True,2023-06-28 00:00:00,2026-03-21 23:09:17.374545
77,Mohamed El-Sayed,01233392072,388043195899928,8,morning,bike,2020-12-14,3.795,0.836,0.016,9003,True,2020-12-14 00:00:00,2026-03-21 23:09:17.374557
78,Ali Naguib,01150946121,362021675325262,12,night,car,2020-03-30,3.725,0.896,0.044,21815,True,2020-03-30 00:00:00,2026-03-21 23:09:17.374570
79,Samy Mohamed,01181478283,362672166178123,11,night,bike,2020-06-19,4.098,0.829,0.046,24182,True,2020-06-19 00:00:00,2026-03-21 23:09:17.374581
80,Bassem Abdallah,01226972976,396537850800057,3,morning,motorbike,2022-09-04,4.285,0.895,0.063,10739,True,2022-09-04 00:00:00,2026-03-21 23:09:17.374594
81,Sherif Ahmed,01573586743,366429776512669,2,morning,motorbike,2024-11-22,3.85,0.878,0.015,4271,True,2024-11-22 00:00:00,2026-03-21 23:09:17.374605
82,Wael Naguib,01028029509,272557465887834,17,evening,car,2023-03-13,3.888,0.748,0.007,7492,True,2023-03-13 00:00:00,2026-03-21 23:09:17.374637
83,Karim Saleh,01034100904,347380104499221,3,evening,motorbike,2022-07-22,4.838,0.904,0.019,9872,True,2022-07-22 00:00:00,2026-03-21 23:09:17.374651
84,Mostafa Mostafa,01236393422,123,9,evening,bike,2023-01-15,4.597,0.823,0.057,9841,True,2023-01-15 00:00:00,2026-03-21 23:09:17.374723
85,,01256524207,367105652444853,1,evening,car,2021-12-05,4.486,0.845,0.078,18953,True,2021-12-05 00:00:00,2026-03-21 23:09:17.374770
86,Ashraf Zaki,01571928212,322085144252220,11,morning,bike,2024-10-13,4.135,0.885,0.075,3195,True,2024-10-13 00:00:00,2026-03-21 23:09:17.374784
87,Ahmed Farouk,01077082048,341732677908267,14,evening,bike,2020-06-09,4.534,0.907,0.031,20081,True,2020-06-09 00:00:00,2026-03-21 23:09:17.374797
88,Ahmed El-Din,01286261289,363669826170690,7,evening,bike,2020-09-21,3.552,0.974,0.034,13341,False,2020-09-21 00:00:00,2026-03-21 23:09:17.374810
89,Hazem Abdel-Rahman,01513602203,219780495226072,13,evening,bike,2025-03-14,3.761,0.824,0.02,2444,True,2025-03-14 00:00:00,2026-03-21 23:09:17.374823
90,Ahmed Ahmed,01027332564,364743948489622,7,morning,motorbike,2023-08-10,4.804,0.906,0.025,9545,True,2023-08-10 00:00:00,2026-03-21 23:09:17.374836
91,Essam Abdel-Rahman,01029151794,395123671548905,8,night,car,2024-02-23,3.973,0.754,0.048,5190,True,2024-02-23 00:00:00,2026-03-21 23:09:17.374849
92,Omar Abdel-Rahman,01262491260,245061600675276,6,night,car,2024-02-13,4.606,0.922,0.04,6644,True,2024-02-13 00:00:00,2026-03-21 23:09:17.374863
93,Amr Tawfik,01299477179,267881098793914,18,morning,bike,2020-10-08,4.965,0.837,0.006,9754,True,2020-10-08 00:00:00,2026-03-21 23:09:17.374876
94,Sherif Ahmed,01095747226,358362968803655,13,morning,motorbike,2019-07-02,4.137,0.76,0.005,12942,True,2019-07-02 00:00:00,2026-03-21 23:09:17.374891
95,Ashraf Mansour,01168750274,234005265281343,1,night,motorbike,2019-12-05,3.633,0.805,0.02,16697,True,2019-12-05 00:00:00,2026-03-21 23:09:17.374904
96,Nabil El-Sayed,01114623108,264971727915324,10,evening,car,2023-12-10,3.545,0.761,0.005,8281,False,2023-12-10 00:00:00,2026-03-21 23:09:17.374918
97,Tarek Mostafa,,223597360881631,6,night,bike,2023-09-24,3.799,0.808,0.033,3652,True,2023-09-24 00:00:00,2026-03-21 23:09:17.374932
98,Hussein Shaker,01041193292,260182852660439,11,morning,bike,2023-06-07,3.563,0.971,0.056,3296,True,2023-06-07 00:00:00,2026-03-21 23:09:17.374945
99,Ramy Khalil,01165176483,394283439830648,16,morning,car,2019-06-29,4.586,0.856,0.058,26407,True,2019-06-29 00:00:00,2026-03-21 23:09:17.374957
100,Youssef Shaker,01154566533,219502538392982,11,morning,motorbike,2023-05-11,4.415,0.936,0.05,6968,True,2023-05-11 00:00:00,2026-03-21 23:09:17.374971
76,Nabil El-Masry,01058696493,260367398153116,1,night,car,2023-06-28,3.69,0.797,0.019,5111,False,2023-06-28 00:00:00,2026-03-21 23:09:17.374545
