driver_id,driver_name,driver_phone,national_id,region_id,shift,vehicle_type,hire_date,rating_avg,on_time_rate,cancel_rate,completed_deliveries,is_active,created_at,updated_at
1,Tarek Farouk,01556324312,359436842801130,2,night,car,2022-10-29,3.852,0.841,0.024,6049,True,2022-10-29 00:00:00,2026-03-11 12:40:10.863898
2,Bassem Abdel-Rahman,01071862210,382445653135239,14,evening,bike,2019-03-22,3.514,0.867,0.036,9102,True,2019-03-22 00:00:00,2026-03-11 12:40:10.863945
3,Khaled El-Din,01155092789,333451979746901,10,evening,bike,2020-02-14,4.939,0.951,0.019,22075,True,2020-02-14 00:00:00,2026-03-11 12:40:10.863969
4,Bassem Abdallah,01540317902,223334061807881,11,evening,bike,2019-07-14,3.564,0.848,0.069,15477,True,2019-07-14 00:00:00,2026-03-11 12:40:10.863986
5,Hazem Abdel-Rahman,01236853878,345362193617429,17,evening,car,2023-11-09,4.486,0.911,0.044,8872,True,2023-11-09 00:00:00,2026-03-11 12:40:10.864001
6,Hassan El-Din,01585982862,238237358134698,12,evening,motorbike,2024-03-29,3.767,0.761,0.012,5513,True,2024-03-29 00:00:00,2026-03-11 12:40:10.864017
7,Khaled Mohamed,01296710377,243232744242109,13,morning,car,2023-08-17,3.626,0.752,0.011,5685,True,2023-08-17 00:00:00,2026-03-11 12:40:10.864038
8,Walid Saleh,01228311409,249096243498411,18,morning,motorbike,2019-06-01,4.482,0.87,0.0,24866,True,2019-06-01 00:00:00,2026-03-11 12:40:10.864060
9,Wael Mohamed,01558779318,229781943982927,8,morning,motorbike,2019-09-18,4.336,0.846,0.045,11548,True,2019-09-18 00:00:00,2026-03-11 12:40:10.864081
10,Nabil Soliman,01052065222,392239313664514,13,night,motorbike,2020-01-05,4.581,0.822,0.078,10070,True,2020-01-05 00:00:00,2026-03-11 12:40:10.864101
11,Mostafa Mansour,01225161415,369642259829314,16,night,motorbike,2025-08-11,3.916,0.769,0.018,1437,True,2025-08-11 00:00:00,2026-03-11 12:40:10.864165
12,Tarek Abdel-Rahman,abc12345,399925058574447,12,night,bike,2025-10-17,3.65,0.912,0.071,1040,True,2025-10-17 00:00:00,2026-03-11 12:40:10.864204
13,Amr Khalil,01168900892,348564656871503,3,evening,motorbike,2021-08-22,4.186,0.731,0.036,17755,True,2021-08-22 00:00:00,2026-03-11 12:40:10.864231
14,Ziad Ibrahim,01590814633,335858458740794,15,night,bike,2024-09-04,3.669,0.934,0.037,4033,True,2024-09-04 00:00:00,2026-03-11 12:40:10.864255
15,Hassan Mostafa,01552869025,328789344492893,9,morning,car,2020-06-16,4.531,0.873,0.062,17623,True,2020-06-16 00:00:00,2026-03-11 12:40:10.864277
16,Hassan Naguib,01084964625,222523724536519,15,morning,motorbike,2025-05-25,3.904,0.935,0.064,1088,True,2025-05-25 00:00:00,2026-03-11 12:40:10.864298
17,Ali Mohamed,01570895638,341589993468742,7,morning,motorbike,2025-05-12,4.943,0.734,0.064,1672,True,2025-05-12 00:00:00,2026-03-11 12:40:10.864318
18,Karim Mahmoud,01166147435,214046486012615,10,evening,car,2022-03-05,3.822,0.763,0.038,8286,True,2022-03-05 00:00:00,2026-03-11 12:40:10.864332
19,Omar El-Sayed,01538483372,369574239178689,9,morning,motorbike,2022-08-17,3.611,0.742,0.006,7058,True,2022-08-17 00:00:00,2026-03-11 12:40:10.864347
20,Adel Gaber,01262975309,388752057453412,2,night,car,2019-07-06,3.764,0.5,0.036,29662,True,2019-07-06 00:00:00,2026-03-11 12:40:10.864399
21,Khaled Tawfik,01027162621,349547349350320,12,evening,car,2021-12-02,3.943,0.804,0.074,14033,True,2021-12-02 00:00:00,2026-03-11 12:40:10.864412
22,Khaled Saleh,01184581396,336586076149821,5,morning,bike,2024-07-05,3.877,0.858,0.008,3554,True,2024-07-05 00:00:00,2026-03-11 12:40:10.864467
23,Wael Fathy,01525098270,259199381466591,3,morning,bike,2025-04-16,4.814,0.879,0.017,1463,True,2025-04-16 00:00:00,2026-03-11 12:40:10.864481
24,Wael Gaber,01165890810,213652133776023,10,night,car,2019-01-17,4.985,0.752,0.006,19743,True,2019-01-17 00:00:00,2026-03-11 12:40:10.864498
25,Khaled Ali,01289752745,255726167891485,5,morning,bike,2024-05-19,4.75,0.813,0.061,4094,True,2024-05-19 00:00:00,2026-03-11 12:40:10.864524
26,Walid Shaker,01521970652,239308222658092,6,evening,motorbike,2021-11-11,4.697,0.723,0.022,15388,True,2021-11-11 00:00:00,2026-03-11 12:40:10.864538
27,Hossam Saleh,01158190104,261714979883738,17,morning,car,2022-06-24,4.2,0.911,0.074,9895,True,2022-06-24 00:00:00,2026-03-11 12:40:10.864553
28,Nabil Saleh,01015427508,375236143462150,8,night,motorbike,2023-11-14,4.502,0.863,0.009,6359,True,2023-11-14 00:00:00,2026-03-11 12:40:10.864606
29,Ibrahim Mansour,01150320166,270196213316716,10,night,motorbike,2024-05-10,3.618,0.71,0.01,2178,True,2024-05-10 00:00:00,2026-03-11 12:40:10.864660
30,Youssef Mansour,01077571186,275144610435697,6,morning,car,2021-11-03,4.789,0.888,0.006,11529,True,2021-11-03 00:00:00,2026-03-11 12:40:10.864675
31,Ashraf Mansour,01138329117,295014506147287,9,night,car,2021-12-21,3.659,0.812,0.046,4827,True,2021-12-21 00:00:00,2026-03-11 12:40:10.864689
32,Hossam Mansour,01293013580,365592661254383,10,morning,car,2025-10-01,3.739,0.799,0.002,455,False,2025-10-01 00:00:00,2026-03-11 12:40:10.864704
33,Bassem El-Sayed,01594028236,252348747307539,15,morning,bike,2020-08-17,4.221,0.895,0.006,8576,True,2020-08-17 00:00:00,2026-03-11 12:40:10.864717
34,Hossam Fathy,01286427662,356982865960051,1,morning,bike,2025-07-25,4.449,0.954,0.054,2414,True,2025-07-25 00:00:00,2026-03-11 12:40:10.864731
35,Adel Zaki,01578901438,384350439585692,1,evening,car,2019-06-01,4.347,0.954,0.046,14866,True,2019-06-01 00:00:00,2026-03-11 12:40:10.864745
36,Youssef Fathy,01512792658,276040242641592,12,evening,car,2022-11-21,3.843,0.926,0.021,11549,True,2022-11-21 00:00:00,2026-03-11 12:40:10.864758
37,Ziad Tawfik,01565950146,376476627516738,6,night,car,2022-04-16,3.77,0.826,0.057,6056,True,2022-04-16 00:00:00,2026-03-11 12:40:10.864772
38,Hassan Shaker,01550755467,288366872790446,2,morning,motorbike,2023-08-31,4.029,0.723,0.024,6795,True,2023-08-31 00:00:00,2026-03-11 12:40:10.864785
39,Ayman Hassan,01085427873,246285972639678,11,evening,bike,2020-04-11,4.681,0.862,0.066,19489,True,2020-04-11 00:00:00,2026-03-11 12:40:10.864798
40,Bassem Soliman,01571355706,224903427681611,4,night,car,2019-07-26,3.516,0.863,0.007,23180,True,2019-07-26 00:00:00,2026-03-11 12:40:10.864812
41,Hassan Zaki,01030709222,327305014963826,7,evening,motorbike,2024-09-03,4.937,0.869,0.064,2223,True,2024-09-03 00:00:00,2026-03-11 12:40:10.864826
42,Ibrahim Soliman,01558404738,284542393710723,14,morning,bike,2023-03-06,3.73,0.805,0.038,13105,False,2023-03-06 00:00:00,2026-03-11 12:40:10.864839
43,Ayman Gaber,01079437366,257610076595822,11,evening,motorbike,2023-12-18,5.0,0.935,0.011,3606,False,2023-12-18 00:00:00,2026-03-11 12:40:10.864852
44,Hazem Ali,01563955904,311109579706988,9,night,car,2024-10-30,4.403,0.716,0.007,3290,True,2024-10-30 00:00:00,2026-03-11 12:40:10.864867
45,Adel Shaker,01536480587,315201567379266,18,evening,car,2022-11-15,4.046,0.811,0.062,12249,True,2022-11-15 00:00:00,2026-03-11 12:40:10.864880
